,BAC,,,,,
,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,
2006-01-03,46.919998,47.18,46.150002,47.080002,36.861759,16296700
2006-01-04,47,47.240002000000004,46.450001,46.580002,36.470284,17757900
2006-01-05,46.580002,46.830002,46.32,46.639998999999996,36.517246,14970700
2006-01-06,46.799999,46.91,46.349998,46.57,36.46244,12599800
2006-01-09,46.720001,46.970001,46.360001000000004,46.599998,36.485931,15619400
2006-01-10,46.400002,46.509997999999996,45.880001,46.209998999999996,36.180576,15634600
2006-01-11,46.060001,46.25,45.75,46.099998,36.094448,14742100
2006-01-12,46.220001,46.23,45.709998999999996,45.799999,35.859573,10546600
2006-01-13,45.830002,46,45.68,45.799999,35.859573,10791000
2006-01-17,45.400002,45.580002,45,45.310001,35.475918,14605900
2006-01-18,45.32,45.650002,44.919998,45.259997999999996,35.436768,10867000
2006-01-19,45.880001,45.880001,44.849998,45.139998999999996,35.342815,14584000
2006-01-20,45,45.150002,44.169998,44.189999,34.598988,24950800
2006-01-23,43.5,44.389998999999996,43.490002000000004,43.959998999999996,34.418921999999995,23459500
2006-01-24,44.080002,44.68,44.040001000000004,44.240002000000004,34.638165,13500300
2006-01-25,44.150002,44.650002,44.150002,44.630001,34.943512,15132000
2006-01-26,45,45.16,44.669998,44.900002,35.154907,18449100
2006-01-27,44.900002,45.110001000000004,44.610001000000004,44.799999,35.076607,12250800
2006-01-30,44.75,45.349998,44.25,44.48,34.826057,14812100
2006-01-31,44.650002,44.73,44.119999,44.23,34.630314,19151000
2006-02-01,44.099998,44.240002000000004,43.860001000000004,43.950001,34.411087,15854700
2006-02-02,43.950001,43.970001,43.369999,43.439999,34.011787,14745100
2006-02-03,43.299999,43.549999,42.919998,43.09,33.737755,17097000
2006-02-06,43.400002,43.650002,43.240002000000004,43.369999,33.95697,12554600
2006-02-07,43.599998,43.869999,43.459998999999996,43.490002000000004,34.050926000000004,13914200
2006-02-08,43.549999,43.720001,43.34,43.669998,34.191853,11101600
2006-02-09,43.75,44.049999,43.700001,43.830002,34.317139000000005,13766200
2006-02-10,43.77,44.02,43.41,43.919998,34.387608,9038900
2006-02-13,43.700001,43.959998999999996,43.299999,43.700001,34.215359,8329500
2006-02-14,43.919998,44.490002000000004,43.73,44.16,34.575511999999996,17049200
2006-02-15,44.07,44.599998,43.93,44.360001000000004,34.732098,12818500
2006-02-16,44.389998999999996,44.73,44.279999,44.689999,34.990475,11773700
2006-02-17,44.779999,45.32,44.52,44.66,34.966991,11938900
2006-02-21,44.709998999999996,44.830002,44.509997999999996,44.549999,34.880863,10380500
2006-02-22,44.450001,45.169998,44.419998,45.080002,35.295840999999996,14729600
2006-02-23,45.189999,45.700001,45,45.369999,35.522892,17345700
2006-02-24,44.939999,45.889998999999996,44.939999,45.720001,35.796932,13832400
2006-02-27,45.84,46,45.700001,45.98,36.000492,18460200
2006-02-28,45.77,46.049999,45.75,45.849998,35.898708,20699000
2006-03-01,45.349998,45.669998,45.310001,45.599998,36.096603,15576200
2006-03-02,45.25,45.360001000000004,44.900002,45.150002,35.740398,14367400
2006-03-03,45.080002,45.490002000000004,44.98,45.189999,35.772048999999996,12399500
2006-03-06,45.099998,45.299999,44.91,45.209998999999996,35.787888,11318400
2006-03-07,45.09,45.689999,45.049999,45.619999,36.112442,12823300
2006-03-08,45.419998,45.889998999999996,45.419998,45.709998999999996,36.183689,14201200
2006-03-09,45.700001,45.810001,45.490002000000004,45.549999,36.057018,11922800
2006-03-10,45.5,46,45.450001,45.950001,36.373676,12535400
2006-03-13,45.959998999999996,46.200001,45.790001000000004,45.939999,36.365753000000005,10090800
2006-03-14,46,46.400002,45.939999,46.259997999999996,36.619083,14364000
2006-03-15,46.049999,46.529999,45.869999,46.400002,36.729889,11344600
2006-03-16,46.48,46.900002,46.48,46.759997999999996,37.014854,13005400
2006-03-17,46.970001,46.98,46.639998999999996,46.900002,37.125687,18970500
2006-03-20,46.709998999999996,47,46.560001,46.900002,37.125687,11243700
2006-03-21,46.75,46.98,46.52,46.57,36.864456,11774400
2006-03-22,46.400002,47.139998999999996,46.400002,46.990002000000004,37.196938,11157200
2006-03-23,46.869999,46.98,46.610001000000004,46.700001,36.967361,10793900
2006-03-24,46.779999,47,46.66,46.900002,37.125687,10495000
2006-03-27,46.790001000000004,46.93,46.669998,46.82,37.062355,10450300
2006-03-28,46.619999,47.009997999999996,45.950001,46.060001,36.460739000000004,16077800
2006-03-29,46.169998,46.299999,45.720001,45.970001,36.389507,11836200
2006-03-30,45.799999,46.09,45.48,45.610001000000004,36.104527000000004,12825100
2006-03-31,45.73,45.919998,45.450001,45.540001000000004,36.049126,10968800
2006-04-03,45.849998,46.220001,45.66,45.68,36.159939,11832600
2006-04-04,45.77,46.400002,45.700001,46.290001000000004,36.642815,8823300
2006-04-05,46.209998999999996,46.57,46.209998999999996,46.549999,36.848637,10249600
2006-04-06,46.330002,46.529999,46.049999,46.200001,36.571568,7795500
2006-04-07,46.41,46.470001,45.66,45.740002000000004,36.207436,9406600
2006-04-10,45.900002,46.080002,45.639998999999996,45.68,36.159939,9100000
2006-04-11,45.75,46,45.450001,45.560001,36.064938,8570000
2006-04-12,45.619999,45.919998,45.57,45.720001,36.191604999999996,7157300
2006-04-13,45.73,45.93,45.599998,45.73,36.199535,7642200
2006-04-17,45.950001,45.950001,45.259997999999996,45.48,36.001616999999996,10618900
2006-04-18,45.450001,46.299999,45.369999,45.959998999999996,36.381588,16356400
2006-04-19,45.869999,46.240002000000004,45.790001000000004,46.049999,36.452831,10493000
2006-04-20,46.599998,46.849998,46.110001000000004,46.279999,36.634899,17056200
2006-04-21,46.349998,46.950001,46.349998,46.869999,37.101925,16502600
2006-04-24,46.849998,47.139998999999996,46.709998999999996,47.07,37.260258,12568100
2006-04-25,47.02,47.169998,46.830002,47.09,37.276089,12677000
2006-04-26,47.099998,47.779999,47.049999,47.709998999999996,37.766876,19058900
2006-04-27,47.59,49.18,47.509997999999996,49.040001000000004,38.819702,34554500
2006-04-28,48.93,49.98,48.900002,49.919998,39.5163,29595900
2006-05-01,49.84,50,49.099998,49.18,38.930515,21093000
2006-05-02,49.259997999999996,49.66,49.259997999999996,49.459998999999996,39.152149,19227800
2006-05-03,49.27,49.599998,49.220001,49.299999,39.025513000000004,13745200
2006-05-04,49.549999,49.950001,49.529999,49.939999,39.53212,15863000
2006-05-05,50,50.5,49.950001,50.470001,39.951664,19401000
2006-05-08,50.200001,50.32,50,50.110001000000004,39.666698,10721900
2006-05-09,50.110001000000004,50.349998,50.040001000000004,50.189999,39.730034,10343700
2006-05-10,50.029999,50.439999,49.740002000000004,50.169998,39.714199,11892500
2006-05-11,50.299999,50.299999,49.439999,49.689999,39.334232,11227700
2006-05-12,49.689999,49.849998,49.130001,49.200001,38.946346000000005,15232200
2006-05-15,49,49.77,48.599998,49.549999,39.223392,13367300
2006-05-16,49.619999,49.799999,49.389998999999996,49.639998999999996,39.294647,8121100
2006-05-17,49.299999,49.310001,48.299999,48.560001,38.439732,20638000
2006-05-18,48.650002,49.040001000000004,48.09,48.119999,38.091427,13165300
